year,week,down,clock_minutes,half_clock.minutes,pos_team,def_pos_team,wp_before,def_wp_before,pass,rush,xp,name,conference,team_id,color,logo
2024,1,1,15,30,SMU,Nevada,0.2339722,0.7660278,1,0,0.41789913177490234,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,2,15,30,SMU,Nevada,0.2116405,0.7883595,1,0,0.5766367316246033,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,1,15,30,SMU,Nevada,0.2809967,0.7190033,1,0,0.41886618733406067,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,2,15,30,SMU,Nevada,0.25093,0.74907,1,0,0.4960266351699829,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,1,15,30,SMU,Nevada,0.3096521,0.6903479,1,0,0.4187186658382416,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,1,15,30,SMU,Nevada,0.3658848,0.6341152,1,0,0.41279083490371704,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,2,15,30,SMU,Nevada,0.340143,0.659857,0,1,0.47107580304145813,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,3,15,30,SMU,Nevada,0.328515,0.671485,0,1,0.6631014943122864,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,1,12,27,Nevada,SMU,0.6717197,0.3282803,0,1,0.36659857630729675,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,2,12,27,Nevada,SMU,0.6430913,0.3569087,1,0,0.5760515332221985,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,1,12,27,Nevada,SMU,0.7222807,0.2777193,0,1,0.4007219970226288,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,2,12,27,Nevada,SMU,0.6180339,0.3819661,1,0,0.6042446494102478,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,3,12,27,Nevada,SMU,0.6497685,0.3502315,0,1,0.8273453116416931,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,1,12,27,Nevada,SMU,0.7479662,0.2520338,1,0,0.41628924012184143,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,2,12,27,Nevada,SMU,0.7212916,0.2787084,0,1,0.49469253420829773,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,3,12,27,Nevada,SMU,0.7013553,0.2986447,1,0,0.8234590888023376,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,1,12,27,Nevada,SMU,0.7757927,0.2242073,0,1,0.40853628516197205,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,2,12,27,Nevada,SMU,0.7931511,0.2068489,0,1,0.22392861545085907,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,3,12,27,Nevada,SMU,0.7820494,0.2179506,1,0,0.08543380349874496,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,1,12,27,Nevada,SMU,0.8042351,0.1957649,0,1,0.33895185589790344,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,2,12,27,Nevada,SMU,0.7869743,0.2130257,0,1,0.578191876411438,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,1,12,27,Nevada,SMU,0.8360083,0.1639917,0,1,0.1545005440711975,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,2,3,18,Nevada,SMU,0.8556815,0.1443185,0,1,0.05851740017533302,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,1,3,18,SMU,Nevada,0.1027863,0.8972137,1,0,0.5248464941978455,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,1,2,17,SMU,Nevada,0.1530169,0.8469831,0,1,0.5028872489929199,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,1,2,17,SMU,Nevada,0.1778514,0.8221486,1,0,0.49857333302497864,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,1,2,17,SMU,Nevada,0.1994939,0.8005061,0,1,0.49781596660614014,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,2,2,17,SMU,Nevada,0.1857568,0.8142432,1,0,0.5788838267326355,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,1,2,17,SMU,Nevada,0.194306,0.805694,1,0,0.6184943318367004,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,2,2,17,SMU,Nevada,0.1747029,0.8252971,1,0,0.7244589924812317,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,3,0,15,SMU,Nevada,0.1323425,0.8676575,1,0,0.8172079920768738,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,1,14,14,Nevada,SMU,0.9118842,0.0881158,0,1,0.3101336658000946,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,2,14,14,Nevada,SMU,0.9007814,0.0992186,1,0,0.5563705563545227,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,3,14,14,Nevada,SMU,0.9192648,0.0807352,0,1,0.10367371886968613,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,1,14,14,Nevada,SMU,0.9252557,0.0747443,0,1,0.30958864092826843,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,2,14,14,Nevada,SMU,0.928054,0.071946,1,0,0.2809653878211975,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,1,14,14,Nevada,SMU,0.9399883,0.0600117,1,0,0.29860708117485046,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,2,14,14,Nevada,SMU,0.9333536,0.0666464,1,0,0.4193030893802643,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,3,14,14,Nevada,SMU,0.8991456,0.1008544,1,0,0.6619061231613159,Jeff Choate,Mountain West,2440,#002d62,http://a.espncdn.com/i/teamlogos/ncaa/500/2440.png
2024,1,1,10,10,SMU,Nevada,0.0596574,0.9403426,0,1,0.40394818782806396,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,2,10,10,SMU,Nevada,0.0712193,0.9287807,0,1,0.28839418292045593,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,3,10,10,SMU,Nevada,0.0600418,0.9399582,1,0,0.40782150626182556,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,1,10,10,SMU,Nevada,0.1374958,0.8625042,0,1,0.5837729573249817,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,2,8,8,SMU,Nevada,0.1697585,0.8302415,1,0,0.3345741033554077,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,3,8,8,SMU,Nevada,0.1447638,0.8552362,0,1,0.12723368406295776,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,1,8,8,SMU,Nevada,0.1820696,0.8179304,0,1,0.38054344058036804,Rhett Lashlee,ACC,2567,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
2024,1,1,15,30,New Mexico,Montana State,0.4903198,0.5096802,1,0,0.4495809078216553,Bronco Mendenhall,Mountain West,167,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png
2024,1,1,14,29,New Mexico,Montana State,0.5422727,0.4577273,0,1,0.45867669582366943,Bronco Mendenhall,Mountain West,167,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png
2024,1,2,14,29,New Mexico,Montana State,0.5382889,0.4617111,1,0,0.5317861437797546,Bronco Mendenhall,Mountain West,167,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png
2024,1,1,14,29,New Mexico,Montana State,0.6053136,0.3946864,0,1,0.4602886736392975,Bronco Mendenhall,Mountain West,167,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png
2024,1,2,13,28,New Mexico,Montana State,0.6013089,0.3986911,1,0,0.5026744604110718,Bronco Mendenhall,Mountain West,167,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png
2024,1,3,13,28,New Mexico,Montana State,0.5645637,0.4354363,1,0,0.7613018751144409,Bronco Mendenhall,Mountain West,167,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png
2024,1,1,7,22,New Mexico,Montana State,0.7570159,0.2429841,0,1,0.4022996425628662,Bronco Mendenhall,Mountain West,167,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png
2024,1,2,6,21,New Mexico,Montana State,0.7372856,0.2627144,0,1,0.5655599236488342,Bronco Mendenhall,Mountain West,167,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png
2024,1,3,6,21,New Mexico,Montana State,0.718903,0.281097,1,0,0.835317075252533,Bronco Mendenhall,Mountain West,167,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png
2024,1,1,5,20,New Mexico,Montana State,0.8535423,0.1464577,1,0,0.42561888694763184,Bronco Mendenhall,Mountain West,167,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/167.png
