athlete_id,player_id,Name,Team,Conference,Eligibility,Year.Out.Of.HS,Recruit.Stars,Height,Weight,Pos
4362159,"Alan Bowman, Michigan, QB",Alan Bowman,Michigan,Big Ten,2022,4,3,75,215,QB
4362419,"Brett Bell, UCF, TE",Brett Bell,UCF,American Athletic,2022,6,3,78,290,TE
4242885,"Kyle Soelle, Arizona State, TE",Kyle Soelle,Arizona State,Pac-12,2022,5,3,76,225,TE
4429357,"Trevor Bycznski, Buffalo, QB",Trevor Bycznski,Buffalo,Mid-American,2022,3,3,77,235,QB
4683271,"Jayleen Record, SMU, WR",Jayleen Record,SMU,American Athletic,2024,1,3,70,170,WR
4683466,"Jamir Roberts, UMass, WR",Jamir Roberts,UMass,FBS Independents,2024,1,3,NA,NA,WR
4241007,"D'Marco Jackson, Appalachian State, RB",D'Marco Jackson,Appalachian State,Sun Belt,2022,5,2,73,230,RB
4570420,"Jake Rogers, Bowling Green, WR",Jake Rogers,Bowling Green,Mid-American,2022,3,2,69,185,WR
4608791,"Dennis Barnes, UTEP, WR",Dennis Barnes,UTEP,Conference USA,2022,4,2,71,170,WR
4372599,"Luke Ashworth, Arizona, QB",Luke Ashworth,Arizona,Pac-12,2022,3,NA,73,200,QB
4374495,"Jason Goldstein, Southern Mississippi, QB",Jason Goldstein,Southern Mississippi,Conference USA,2022,3,NA,72,228,QB
4381249,"Cade Musser, Missouri, WR",Cade Musser,Missouri,SEC,2022,2,NA,69,185,WR
4384690,"Jack Albers, Purdue, QB",Jack Albers,Purdue,Big Ten,2023,2,NA,72,180,QB
4569450,"Graeson Malashevich, West Virginia, WR",Graeson Malashevich,West Virginia,Big 12,2022,3,NA,69,179,WR
4570422,"LaBronz Davis, Bowling Green, QB",LaBronz Davis,Bowling Green,Mid-American,2022,3,NA,75,207,QB
4686817,"Drew Cassens, Northern Illinois, TE",Drew Cassens,Northern Illinois,Mid-American,2023,2,NA,74,213,TE
4697846,"J.B. Awolowo, Kent State, WR",J.B. Awolowo,Kent State,Mid-American,2023,2,NA,69,199,WR
4035576,"T.J. Hammonds, Arkansas, RB",T.J. Hammonds,Arkansas,SEC,2022,6,4,70,190,RB
4383088,"T.J. DeShields, Akron, QB",T.J. DeShields,Akron,Mid-American,2022,2,NA,75,200,QB
4363005,"Sheldon Jones, UT San Antonio, WR",Sheldon Jones,UT San Antonio,Conference USA,2022,4,3,69,165,WR
4432727,"Solomon Lewis, Louisiana Tech, WR",Solomon Lewis,Louisiana Tech,Conference USA,2024,1,3,70,166,WR
4426454,"Lance LeGendre, Louisiana, QB",Lance LeGendre,Louisiana,Big Ten,2022,3,4,73,215,QB
-5650," Team, Clemson, RB", Team,Clemson,ACC,2022,6,NA,NA,NA,RB
4432627,"Tee Webb, Southern Mississippi, QB",Tee Webb,Southern Mississippi,Conference USA,2023,2,3,76,195,QB
4694149,"Walker Eget, San José State, QB",Walker Eget,San José State,Mountain West,2024,1,3,75,200,QB
4426770,"Spencer Brasch, California, QB",Spencer Brasch,California,Pac-12,2022,2,3,76,200,QB
4708067,"Kai Horton, Tulane, QB",Kai Horton,Tulane,American Athletic,2024,1,3,77,215,QB
4239400,"Kingsley Ifedi, East Carolina, QB",Kingsley Ifedi,East Carolina,American Athletic,2022,5,3,75,222,QB
-6685," Team, Minnesota, RB", Team,Minnesota,Big Ten,2022,6,NA,NA,NA,RB
